Type Trl X.n X.p X.frq SE.n SE.p SE.frq B.frq RB.frq NUM
1 uniform 1 6729.30831099071 0.799693962533381 2.9999707039154 1.61781335621886 0.000387721130523775 0.000368833907303871 -2.92960846048906e-05 -9.76536153496355e-06 20294
2 modulated 1 6728.99058596936 0.801522553142475 3.00011564948983 1.6880701978809 0.00137835183793501 0.000161525523016298 0.000115649489833114 3.85498299443713e-05 20294
3 uniform 1 6729.4033850249 0.799865732813887 3.00011800112948 1.14144103274612 0.00027258030608673 0.000132356656614764 0.000118001129484568 3.93337098281895e-05 40588
4 modulated 1 6729.32961743876 0.799793364558965 3.00000776479647 1.13975511277742 0.000895070828066422 5.82216230229978e-05 7.76479647246475e-06 2.58826549082158e-06 40588
5 uniform 1 6729.59276401393 0.799820066080981 2.99989902550476 0.927911719651104 0.00022209326427597 7.18117398291818e-05 -0.000100974495242934 -3.36581650809779e-05 60882
6 modulated 1 6729.7493698459 0.799679767212495 3.00004719485266 0.929927044245425 0.000738052324496655 3.18044288553714e-05 4.71948526596933e-05 1.57316175532311e-05 60882
7 uniform 1 6730.33733393311 0.799701358616664 2.99998198972027 0.802489659021149 0.00019271870941324 4.64032224193007e-05 -1.80102797342485e-05 -6.00342657808284e-06 81176
8 modulated 1 6730.32990059432 0.799172795806281 3.00002418481566 0.800656172868394 0.000626456153380648 2.07257584467844e-05 2.41848156603552e-05 8.06160522011841e-06 81176
9 uniform 1 6729.75113151139 0.799828011969416 2.99997614594332 0.719681654152225 0.000173520946305151 3.30855515459398e-05 -2.38540566814827e-05 -7.95135222716089e-06 101470
10 modulated 1 6729.84509191338 0.799070572847548 3.00001558858571 0.719181108258222 0.000567199801149798 1.49123917883825e-05 1.55885857138216e-05 5.19619523794053e-06 101470
11 uniform 1 6729.84163651694 0.799901410604202 3.000000715894 0.655931726515603 0.000158756972007123 2.49446891834731e-05 7.15893998304296e-07 2.38631332768099e-07 121764
12 modulated 1 6729.82563251521 0.799236002290745 3.00000712028411 0.654550657338304 0.000511803492855939 1.1345399869619e-05 7.12028411342658e-06 2.37342803780886e-06 121764
13 uniform 1 6729.7698117747 0.799904265004819 3.00001035531171 0.606489081443976 0.000147312850860254 1.96228388929442e-05 1.03553117050126e-05 3.45177056833753e-06 142058
14 modulated 1 6729.77739370318 0.799326616045021 3.00000952362633 0.605817656887171 0.000476516328625861 9.00369873194324e-06 9.5236263337739e-06 3.17454211125797e-06 142058
15 uniform 1 6729.73710595664 0.799967447252484 2.99998893862974 0.567486874003924 0.000138269626745372 1.59537654866508e-05 -1.10613702593021e-05 -3.68712341976737e-06 162352
16 modulated 1 6729.74879680511 0.799457671629514 2.99999786903095 0.566535737060995 0.000442860694856813 7.37922996501157e-06 -2.13096905232746e-06 -7.10323017442486e-07 162352
17 uniform 1 6729.81355719958 0.79988201449262 2.99999372254566 0.535224530926638 0.000130730331353921 1.32988919705239e-05 -6.27745434123028e-06 -2.09248478041009e-06 182646
18 modulated 1 6729.81974666625 0.799666336595339 2.99999540714005 0.534713358482546 0.000419964414988645 6.19075689148026e-06 -4.5928599496925e-06 -1.53095331656417e-06 182646
19 uniform 1 6729.78445548458 0.799916474914986 3.00000027015459 0.507539107004177 0.000124199277302048 1.13009085189384e-05 2.70154594694816e-07 9.00515315649386e-08 202940
20 modulated 1 6729.76816967432 0.799762818961997 2.99999563619129 0.5069167882012 0.000396206572722197 5.28710831318725e-06 -4.36380870505459e-06 -1.45460290168486e-06 202940
