dgamma,x,Sx,Sy,Sz
3.333333E-005,-0.015,-0.1025218,0.008911972,0.9316514
3.333333E-005,-0.01166667,-0.1226998,0.006182867,0.9537724
3.333333E-005,-0.008333333,-0.1380618,0.003469101,0.9704935
3.333333E-005,-0.005,-0.1483476,0.001329417,0.9817115
3.333333E-005,-0.001666667,-0.1535057,0.0001540061,0.9873416
3.333333E-005,0.001666667,-0.1535949,0.000148875,0.9873277
3.333333E-005,0.005,-0.1487354,0.001317134,0.9816528
3.333333E-005,0.008333333,-0.139089,0.003443223,0.970347
3.333333E-005,0.01166667,-0.1248369,0.006083406,0.9534959
3.333333E-005,0.015,-0.1061344,0.008571231,0.9312506
6.666667E-005,-0.015,-0.1020658,0.008908561,0.9317063
6.666667E-005,-0.01166667,-0.1222326,0.006181516,0.9538269
6.666667E-005,-0.008333333,-0.1375839,0.003469552,0.9705479
6.666667E-005,-0.005,-0.147861,0.001330949,0.981766
6.666667E-005,-0.001666667,-0.1530131,0.0001557489,0.9873964
6.666667E-005,0.001666667,-0.1530992,0.0001499982,0.9873833
6.666667E-005,0.005,-0.1482397,0.001317018,0.9817095
6.666667E-005,0.008333333,-0.1385966,0.003441632,0.970405
6.666667E-005,0.01166667,-0.124352,0.006080623,0.9535554
6.666667E-005,0.015,-0.1056622,0.008568052,0.9313112
0.0001,-0.015,-0.1016148,0.008905622,0.9317196
0.0001,-0.01166667,-0.121771,0.006180514,0.9538385
0.0001,-0.008333333,-0.1371123,0.003470273,0.9705583
0.0001,-0.005,-0.1473812,0.00133272,0.9817757
0.0001,-0.001666667,-0.1525278,0.0001577292,0.9874061
0.0001,0.001666667,-0.152611,0.0001513664,0.9873937
0.0001,0.005,-0.1477515,0.001317142,0.9817213
0.0001,0.008333333,-0.1381114,0.003440248,0.9704189
0.0001,0.01166667,-0.1238735,0.006077981,0.9535717
0.0001,0.015,-0.1051956,0.00856493,0.9313299
0.0001333333,-0.015,-0.101177,0.008903156,0.9316903
0.0001333333,-0.01166667,-0.1213233,0.006179842,0.9538061
0.0001333333,-0.008333333,-0.1366555,0.003471235,0.9705235
0.0001333333,-0.005,-0.1469171,0.0013347,0.9817394
0.0001333333,-0.001666667,-0.1520586,0.0001599213,0.9873694
0.0001333333,0.001666667,-0.1521393,0.0001529594,0.9873576
0.0001333333,0.005,-0.1472796,0.001317491,0.981687
0.0001333333,0.008333333,-0.1376421,0.003439054,0.9703874
0.0001333333,0.01166667,-0.1234102,0.006075455,0.9535437
0.0001333333,0.015,-0.1047428,0.008561826,0.9313058
0.0001666667,-0.015,-0.1007609,0.008901159,0.9316177
0.0001666667,-0.01166667,-0.1208987,0.006179478,0.9537286
0.0001666667,-0.008333333,-0.136223,0.003472409,0.9704423
0.0001666667,-0.005,-0.1464783,0.001336857,0.9816558
0.0001666667,-0.001666667,-0.1516154,0.0001622966,0.9872847
0.0001666667,0.001666667,-0.1516938,0.0001547546,0.9872735
0.0001666667,0.005,-0.1468339,0.001318045,0.9816051
0.0001666667,0.008333333,-0.1371984,0.003438034,0.9703091
0.0001666667,0.01166667,-0.1229714,0.00607302,0.9534703
0.0001666667,0.015,-0.1043129,0.0085587,0.931238
0.0002,-0.015,-0.1003763,0.008899632,0.9315005
0.0002,-0.01166667,-0.1205072,0.006179403,0.9536048
0.0002,-0.008333333,-0.1358252,0.003473761,0.9703133
0.0002,-0.005,-0.1460755,0.001339155,0.9815233
0.0002,-0.001666667,-0.1512091,0.0001648227,0.9871506
0.0002,0.001666667,-0.1512856,0.0001567256,0.9871398
0.0002,0.005,-0.1464254,0.001318784,0.9814741
0.0002,0.008333333,-0.1367911,0.003437162,0.9701827
0.0002,0.01166667,-0.1225676,0.006070642,0.9533502
0.0002,0.015,-0.1039158,0.008555499,0.9311254
0.0002333333,-0.015,-0.1000344,0.008898574,0.9313379
0.0002333333,-0.01166667,-0.1201606,0.006179594,0.9534333
0.0002333333,-0.008333333,-0.1354742,0.003475255,0.9701348
0.0002333333,-0.005,-0.1457211,0.001341553,0.98134
0.0002333333,-0.001666667,-0.1508524,0.0001674625,0.9869651
0.0002333333,0.001666667,-0.1509275,0.0001588414,0.9869547
0.0002333333,0.005,-0.1460666,0.001319681,0.9812921
0.0002333333,0.008333333,-0.1364327,0.003436411,0.9700065
0.0002333333,0.01166667,-0.1222109,0.00606828,0.9531819
0.0002333333,0.015,-0.1035631,0.008552162,0.9309668
0.0002666667,-0.015,-0.09974799,0.00889799,0.9311283
0.0002666667,-0.01166667,-0.119872,0.006180026,0.9532125
0.0002666667,-0.008333333,-0.1351838,0.00347685,0.969905
0.0002666667,-0.005,-0.1454293,0.001344006,0.9811041
0.0002666667,-0.001666667,-0.1505595,0.0001701733,0.9867261
0.0002666667,0.001666667,-0.1506337,0.0001610651,0.9867161
0.0002666667,0.005,-0.1457719,0.001320702,0.9810572
0.0002666667,0.008333333,-0.1361373,0.003435745,0.9697785
0.0002666667,0.01166667,-0.1219151,0.006065886,0.9529638
0.0002666667,0.015,-0.103268,0.008548617,0.9307609
